waterinput,1,9,4
1,686,3023,1456
2,444,2708,600
3,529,2764,1175
4,408,3274,975
5,1148,3987,2329
6,497,3557,799
7,932,7955,4861
8,20549,42653,16911
9,9383,12463,8899
10,467,1366,550
11,419,2203,452
12,308,2994,171
